stage,id,bytes,strategy,rounds,decode_ns,lifecycle_ns,bytes_per_second,paired_percent,ci95_low,ci95_high,allocations,allocated_bytes
exploratory,200M-25912202,593177,baseline,11,591051.9090909091,718477.2727272727,1003595438.7024306,0.0,0.0,0.0,10881,5044096
exploratory,200M-25912202,593177,manual,11,602843.7272727273,732285.8181818182,983964787.4973176,1.9966046296441922,1.5389673083776128,2.4542419509107716,10881,5044096
exploratory,200M-25912202,593177,count,11,628760.9090909091,762535.4545454546,943406295.4989395,6.38360324826014,5.810262240023937,6.956944256496343,9826,1641720
exploratory,200M-25912202,593177,estimate,11,608919.4545454546,760713.0909090909,974146901.6502256,3.025384638615236,2.641441009830367,3.409328267400105,11273,3724832
exploratory,200M-25912202,593177,hybrid256,11,615956.7272727273,743158.5454545454,963017325.3020725,4.216233834068912,3.8083859534488447,4.6240817146889786,10282,2654472
exploratory,200M-25912202,593177,bounded,11,611714.2727272727,750770.4545454546,969696190.6011676,3.4985954293845887,2.981880419007994,4.015310439761183,11344,4200504
exploratory,200M-25912202,593177,native,11,592167.6363636364,725911.3636363636,1001704523.47339,0.19390283869724836,-0.5978376130990745,0.9856432904935711,10881,5044096
exploratory,200M-25912202,593177,u256,11,596346.0909090909,733108.3636363636,994685819.2626703,0.8995910073626343,0.16042839886286608,1.6387536158624025,10881,5044096
exploratory,200M-25912202,593177,integers,11,596513.2727272727,733097.8181818182,994407043.5985117,0.9276467595198068,0.27133912639483215,1.5839543926447814,10881,5044096
exploratory,200M-25912202,593177,count_int,11,621114.2727272727,754810.6363636364,955020720.0929357,5.0906624281983115,4.252343432685884,5.928981423710739,9826,1641720
exploratory,200M-25912202,593177,estimate_int,11,597421.8181818182,753338.0,992894772.081246,1.0801975054644803,0.7126065156808297,1.447788495248131,11273,3724832
exploratory,200M-25912202,593177,hybrid_int,11,609058.0909090909,739476.6363636364,973925162.2363533,3.049520063738061,2.5548947202912218,3.5441454071849,10282,2654472
exploratory,200M-25912203,592785,baseline,11,581546.6363636364,711916.0,1019324956.8196907,0.0,0.0,0.0,11065,4994547
exploratory,200M-25912203,592785,manual,11,594592.0,721877.0,996960941.2841074,2.2429322972637493,1.8487311272666338,2.637133467260865,11065,4994547
exploratory,200M-25912203,592785,count,11,620092.0,761214.4545454546,955962986.1375409,6.662546092806644,5.214720229476546,8.110371956136742,10109,1618467
exploratory,200M-25912203,592785,estimate,11,612458.4545454546,767342.6363636364,967877895.3911976,5.349428864463679,3.877357380013066,6.821500348914292,11501,3776315
exploratory,200M-25912203,592785,hybrid256,11,609748.7272727273,737188.0,972179150.9945378,4.885065579994576,3.457138061172012,6.31299309881714,10544,2662027
exploratory,200M-25912203,592785,bounded,11,613178.8181818182,754642.1818181818,966740830.6074736,5.4795274010590855,3.539487074495419,7.419567727622752,11682,4213995
exploratory,200M-25912203,592785,native,11,595401.2727272727,722190.0909090909,995605866.4179727,2.4129368348077076,-0.6985149410191611,5.524388610634576,11065,4994547
exploratory,200M-25912203,592785,u256,11,587405.8181818182,730279.5454545454,1009157522.1962081,1.0343205399614661,-0.12648870675474022,2.1951297866776724,11065,4994547
exploratory,200M-25912203,592785,integers,11,592893.2727272727,722293.8181818182,999817382.432466,1.9583429363542666,0.9149233557466849,3.0017625169618483,11065,4994547
exploratory,200M-25912203,592785,count_int,11,620923.4545454546,755570.7272727273,954682893.133658,6.776499266922728,4.845291051028328,8.707707482817128,10109,1618467
exploratory,200M-25912203,592785,estimate_int,11,599623.4545454546,765818.0909090909,988595418.5187128,3.1119517201919087,2.5261260377261388,3.6977774026576786,11501,3776315
exploratory,200M-25912203,592785,hybrid_int,11,612234.7272727273,747252.4545454546,968231584.3804411,5.294262564002304,3.307364921173545,7.281160206831063,10544,2662027
exploratory,200M-25912204,718592,baseline,11,717851.7272727273,873237.4545454546,1001031233.4694592,0.0,0.0,0.0,13469,5409377
exploratory,200M-25912204,718592,manual,11,720600.8181818182,877549.2727272727,997212300.9978163,0.4117663495971515,-1.2191072749737422,2.042639974168045,13469,5409377
exploratory,200M-25912204,718592,count,11,765983.0,926505.6363636364,938130480.7025744,6.7332186346763425,4.24183119289553,9.224606076457155,12421,2108297
exploratory,200M-25912204,718592,estimate,11,741436.6363636364,927410.9090909091,969188686.8773069,3.320902360308653,1.2070246392421713,5.434780081375134,13977,4313809
exploratory,200M-25912204,718592,hybrid256,11,753168.7272727273,921315.3636363636,954091658.3221241,4.946857851520164,1.727992231547086,8.165723471493243,12912,3434113
exploratory,200M-25912204,718592,bounded,11,747926.4545454546,901531.5454545454,960778958.456173,4.215027882457878,1.14098107005556,7.289074694860197,14073,4583681
exploratory,200M-25912204,718592,native,11,714911.2727272727,873019.2727272727,1005148509.2110604,-0.3774517118395695,-1.9292053653359835,1.1743019416568445,13469,5409377
exploratory,200M-25912204,718592,u256,11,711266.3636363636,872186.1818181818,1010299427.525553,-0.888030455598548,-2.1445862111407066,0.3685252999436105,13469,5409377
exploratory,200M-25912204,718592,integers,11,718588.5454545454,881562.7272727273,1000004807.4040095,0.12829256794407617,-1.132841586397693,1.3894267222858456,13469,5409377
exploratory,200M-25912204,718592,count_int,11,748730.6363636364,917699.0,959747023.9631027,4.334607347734834,2.9206744228014503,5.748540272668217,12421,2108297
exploratory,200M-25912204,718592,estimate_int,11,722891.6363636364,907464.9090909091,994052170.273729,0.733621566519451,-0.7601527174931009,2.2273958505320026,13977,4313809
exploratory,200M-25912204,718592,hybrid_int,11,741722.3636363636,892108.6363636364,968815334.7258334,3.3521276589882656,1.4662038813606608,5.23805143661587,12912,3434113
exploratory,200M-25912205,643689,baseline,11,615930.2727272727,752470.6363636364,1045067970.3561487,0.0,0.0,0.0,11422,5196749
exploratory,200M-25912205,643689,manual,11,631707.4545454546,769635.7272727273,1018966921.1093397,2.5924563664415876,1.0876925404911717,4.097220192392004,11422,5196749
exploratory,200M-25912205,643689,count,11,657003.7272727273,804503.2727272727,979734167.8288528,6.7102959719146975,4.9231509519513175,8.497440991878078,10395,1693869
